timestamp,distance_mm,status
1787707957.403,-1,No Update
1787707958.237,-1,Signal Fail
1787707958.442,-1,Phase Fail
1787707959.205,-1,Signal Fail
1787707959.410,-1,Phase Fail
1787707960.192,-1,Phase Fail
1787707961.160,-1,Phase Fail
1787707962.127,-1,Phase Fail
1787707963.100,-1,Phase Fail
1787707964.069,-1,Phase Fail
1787707965.036,-1,Phase Fail
1787707966.005,-1,Phase Fail
1787707966.952,-1,Signal Fail
1787707967.164,-1,Phase Fail
1787707967.939,-1,Phase Fail
1787707968.907,-1,Phase Fail
1787707969.874,-1,Phase Fail
1787707970.841,-1,Phase Fail
1787707971.789,-1,Signal Fail
1787707972.003,-1,Phase Fail
1787707972.777,-1,Phase Fail
1787707973.745,-1,Phase Fail
1787707974.713,-1,Phase Fail
1787707975.680,-1,Phase Fail
1787707976.649,-1,Phase Fail
1787707977.616,-1,Phase Fail
1787707978.584,-1,Phase Fail
1787707979.552,-1,Phase Fail
1787707980.500,-1,Signal Fail
1787707980.712,-1,Phase Fail
1787707981.488,-1,Phase Fail
1787707982.457,-1,Phase Fail
1787707983.424,-1,Phase Fail
1787707984.373,-1,Signal Fail
1787707984.587,-1,Phase Fail
1787707985.006,-1,Phase Fail
1787707985.360,-1,Phase Fail
1787707986.328,-1,Phase Fail
1787707987.298,-1,Phase Fail
1787707988.110,-1,Phase Fail
