timestamp,distance_mm,status
1787710104.885,153,Range Valid
1787710105.839,145,Range Valid
1787710106.807,145,Range Valid
1787710107.774,132,Range Valid
1787710108.743,128,Range Valid
1787710109.710,155,Range Valid
1787710110.684,148,Range Valid
1787710111.651,151,Range Valid
1787710112.620,152,Range Valid
1787710113.587,19,Range Valid
1787710114.555,-1,No Update
1787710115.523,192,Range Valid
1787710116.490,182,Range Valid
1787710117.457,155,Range Valid
1787710118.425,172,Range Valid
1787710119.390,224,Range Valid
1787710120.359,247,Range Valid
1787710121.328,169,Range Valid
1787710122.296,184,Range Valid
1787710123.263,151,Range Valid
1787710124.230,147,Range Valid
1787710124.778,147,Range Valid
1787710125.199,147,Range Valid
1787710126.166,151,Range Valid
1787710127.133,149,Range Valid
1787710127.600,149,Range Valid
1787710128.103,-1,No Update
1787710129.069,-1,No Update
1787710130.037,151,Range Valid
1787710130.493,151,Range Valid
1787710130.729,151,Range Valid
1787710131.006,148,Range Valid
