timestamp,distance_mm,status
1787708219.191,0,Range Valid
1787708220.146,65,Range Valid
1787708221.113,92,Range Valid
1787708222.080,98,Range Valid
1787708223.047,90,Range Valid
1787708224.015,104,Range Valid
1787708224.988,57,Range Valid
1787708225.956,-1,No Update
1787708226.923,80,Range Valid
1787708227.890,96,Range Valid
1787708228.858,88,Range Valid
1787708229.825,86,Range Valid
1787708230.793,82,Range Valid
1787708231.761,80,Range Valid
1787708232.728,29,Range Valid
1787708233.694,43,Range Valid
1787708234.662,44,Range Valid
1787708235.629,43,Range Valid
1787708236.596,52,Range Valid
1787708237.562,-1,No Update
1787708238.531,30,Range Valid
1787708239.497,44,Range Valid
1787708240.464,46,Range Valid
1787708241.433,46,Range Valid
1787708242.401,46,Range Valid
1787708243.369,52,Range Valid
1787708244.336,47,Range Valid
1787708245.304,50,Range Valid
1787708246.270,53,Range Valid
1787708247.237,51,Range Valid
1787708248.205,45,Range Valid
1787708249.172,47,Range Valid
1787708250.140,51,Range Valid
1787708251.107,53,Range Valid
1787708252.075,46,Range Valid
1787708253.042,46,Range Valid
1787708254.010,51,Range Valid
1787708254.978,43,Range Valid
1787708255.945,48,Range Valid
1787708256.913,53,Range Valid
1787708257.880,-1,No Update
1787708258.847,41,Range Valid
1787708259.815,-1,No Update
1787708260.783,45,Range Valid
1787708261.750,-1,No Update
1787708262.717,44,Range Valid
1787708263.684,-1,No Update
1787708264.651,45,Range Valid
1787708265.619,101,Range Valid
1787708266.587,97,Range Valid
1787708267.553,95,Range Valid
1787708268.521,95,Range Valid
1787708269.488,95,Range Valid
1787708270.456,-1,No Update
1787708271.425,114,Range Valid
1787708272.393,96,Range Valid
1787708273.359,82,Range Valid
1787708274.326,96,Range Valid
1787708275.294,68,Range Valid
1787708276.260,94,Range Valid
1787708277.228,70,Range Valid
1787708278.196,45,Range Valid
1787708279.164,72,Range Valid
1787708280.130,57,Range Valid
1787708281.097,77,Range Valid
1787708282.065,64,Range Valid
1787708283.032,62,Range Valid
1787708284.001,78,Range Valid
1787708284.969,65,Range Valid
1787708285.935,71,Range Valid
1787708286.902,71,Range Valid
1787708287.870,83,Range Valid
1787708288.837,74,Range Valid
1787708289.805,82,Range Valid
1787708290.773,82,Range Valid
1787708291.740,82,Range Valid
1787708292.706,82,Range Valid
1787708293.675,85,Range Valid
1787708294.642,82,Range Valid
1787708295.609,86,Range Valid
1787708296.575,82,Range Valid
1787708297.544,87,Range Valid
1787708298.511,80,Range Valid
1787708299.479,82,Range Valid
1787708300.447,56,Range Valid
1787708301.415,39,Range Valid
1787708302.362,-1,Signal Fail
1787708302.574,-1,Signal Fail
1787708303.349,49,Range Valid
1787708304.317,55,Range Valid
1787708305.283,59,Range Valid
1787708306.251,59,Range Valid
1787708307.218,63,Range Valid
1787708308.185,62,Range Valid
1787708309.153,61,Range Valid
1787708310.118,90,Range Valid
1787708311.087,75,Range Valid
1787708312.056,52,Range Valid
1787708313.022,46,Range Valid
1787708313.989,56,Range Valid
1787708314.958,57,Range Valid
1787708315.925,54,Range Valid
1787708316.893,60,Range Valid
1787708317.860,59,Range Valid
1787708318.827,59,Range Valid
1787708319.794,60,Range Valid
1787708320.763,49,Range Valid
1787708321.730,29,Range Valid
1787708322.697,26,Range Valid
1787708323.664,27,Range Valid
1787708324.632,48,Range Valid
1787708325.600,52,Range Valid
1787708326.568,40,Range Valid
1787708327.534,38,Range Valid
1787708328.500,44,Range Valid
1787708329.469,48,Range Valid
1787708329.711,48,Range Valid
1787708330.437,45,Range Valid
1787708331.084,45,Range Valid
