timestamp,distance_mm,status
1787710228.636,148,Range Valid
1787710229.594,139,Range Valid
1787710230.561,146,Range Valid
1787710231.529,143,Range Valid
1787710232.497,142,Range Valid
1787710233.465,141,Range Valid
1787710234.438,213,Range Valid
1787710235.408,215,Range Valid
1787710236.375,211,Range Valid
1787710237.344,215,Range Valid
1787710238.311,0,Range Valid
1787710239.280,74,Range Valid
1787710240.247,8,Range Valid
1787710241.188,-1,Signal Fail
1787710241.394,-1,Signal Fail
1787710242.177,145,Range Valid
1787710243.144,167,Range Valid
1787710244.112,302,Range Valid
1787710245.080,301,Range Valid
1787710246.055,278,Range Valid
1787710247.023,217,Range Valid
1787710247.988,221,Range Valid
1787710248.958,212,Range Valid
1787710249.925,303,Range Valid
1787710250.894,292,Range Valid
1787710251.861,307,Range Valid
1787710252.830,316,Range Valid
1787710253.797,281,Range Valid
1787710254.766,220,Range Valid
1787710255.733,239,Range Valid
1787710256.701,245,Range Valid
1787710257.669,271,Range Valid
1787710258.638,213,Range Valid
1787710259.605,226,Range Valid
1787710260.572,264,Range Valid
1787710261.540,523,Range Valid
1787710262.509,479,Range Valid
1787710263.477,474,Range Valid
1787710264.444,498,Range Valid
1787710265.413,526,Range Valid
1787710266.381,450,Range Valid
1787710267.349,-1,No Update
1787710268.318,365,Range Valid
1787710269.284,387,Range Valid
1787710270.252,413,Range Valid
1787710271.221,435,Range Valid
1787710272.188,458,Range Valid
1787710273.157,459,Range Valid
1787710273.658,459,Range Valid
1787710274.125,459,Range Valid
1787710275.091,454,Range Valid
