timestamp,ultrasonic_cm,vl53l1x_mm,vl53l1x_status
1787709942.290,101.9,183,Range Valid
1787709942.705,101.9,178,Range Valid
1787709943.673,101.9,179,Range Valid
1787709944.640,101.9,176,Range Valid
1787709945.607,101.9,179,Range Valid
1787709946.581,101.9,173,Range Valid
1787709947.547,101.9,176,Range Valid
1787709948.516,101.9,176,Range Valid
1787709949.482,101.9,174,Range Valid
1787709950.450,101.9,175,Range Valid
1787709951.416,101.9,176,Range Valid
1787709952.383,101.9,174,Range Valid
1787709953.349,17.0,0,Range Valid
1787709954.317,101.9,58,Range Valid
1787709955.264,4.9,-1,Signal Fail
1787709955.577,101.9,-1,Signal Fail
1787709956.252,101.9,173,Range Valid
1787709957.219,101.9,175,Range Valid
1787709958.186,101.9,175,Range Valid
1787709959.152,101.9,172,Range Valid
1787709960.120,101.9,173,Range Valid
1787709961.087,102.0,178,Range Valid
1787709962.054,101.9,175,Range Valid
1787709963.021,102.3,160,Range Valid
1787709963.988,103.5,159,Range Valid
1787709964.955,103.5,164,Range Valid
1787709965.922,103.5,159,Range Valid
1787709966.889,103.5,155,Range Valid
1787709967.857,103.5,161,Range Valid
1787709968.823,103.4,160,Range Valid
1787709969.791,103.5,159,Range Valid
1787709970.758,103.5,162,Range Valid
1787709971.725,103.4,158,Range Valid
1787709972.690,103.4,159,Range Valid
1787709973.658,103.5,162,Range Valid
1787709974.627,103.5,161,Range Valid
1787709975.594,103.5,159,Range Valid
1787709976.561,103.5,161,Range Valid
1787709977.527,103.4,159,Range Valid
1787709978.494,103.4,158,Range Valid
1787709979.461,103.4,160,Range Valid
1787709980.429,103.5,159,Range Valid
1787709981.397,103.5,160,Range Valid
1787709982.361,103.4,160,Range Valid
1787709983.328,103.5,158,Range Valid
1787709984.296,103.7,78,Range Valid
1787709985.264,110.4,86,Range Valid
1787709986.232,99.3,116,Range Valid
1787709987.198,99.6,142,Range Valid
1787709988.166,93.4,141,Range Valid
1787709989.133,93.4,141,Range Valid
1787709990.101,93.4,141,Range Valid
1787709991.068,93.4,143,Range Valid
1787709992.034,93.4,146,Range Valid
1787709993.002,93.4,140,Range Valid
1787709993.969,93.4,142,Range Valid
1787709994.936,93.4,141,Range Valid
1787709995.903,93.4,141,Range Valid
1787709996.869,93.4,139,Range Valid
1787709997.837,93.4,140,Range Valid
1787709998.806,93.4,143,Range Valid
1787709999.772,93.4,141,Range Valid
1787710000.740,93.4,142,Range Valid
1787710001.706,93.4,139,Range Valid
1787710002.674,93.4,140,Range Valid
1787710003.641,30.7,152,Range Valid
1787710004.609,93.3,149,Range Valid
1787710005.576,93.3,149,Range Valid
1787710006.543,93.3,147,Range Valid
1787710007.510,93.3,152,Range Valid
1787710008.478,93.3,152,Range Valid
1787710009.446,93.3,154,Range Valid
1787710010.413,93.3,154,Range Valid
1787710011.379,93.3,152,Range Valid
1787710012.345,93.3,153,Range Valid
1787710013.312,93.3,154,Range Valid
1787710014.279,93.3,145,Range Valid
1787710015.248,4.2,37,Range Valid
1787710016.217,2.9,42,Range Valid
1787710017.183,3.0,108,Range Valid
1787710018.151,4.5,71,Range Valid
1787710019.117,2.6,106,Range Valid
1787710020.085,5.5,27,Range Valid
1787710021.052,93.3,32,Range Valid
1787710022.019,93.3,38,Range Valid
1787710022.987,93.4,44,Range Valid
1787710023.954,93.3,57,Range Valid
1787710024.921,93.3,44,Range Valid
1787710025.869,5.8,-1,Signal Fail
1787710026.181,93.3,-1,Signal Fail
1787710026.855,93.3,143,Range Valid
1787710027.822,93.3,143,Range Valid
1787710028.789,93.3,143,Range Valid
1787710029.757,93.3,139,Range Valid
1787710030.723,93.3,71,Range Valid
1787710031.691,93.8,-1,No Update
1787710032.657,29.7,162,Range Valid
1787710033.627,29.9,148,Range Valid
1787710034.594,93.3,143,Range Valid
1787710035.561,93.3,141,Range Valid
1787710036.528,17.6,0,Range Valid
1787710037.496,10.5,10,Range Valid
1787710038.443,93.2,-1,Signal Fail
1787710038.754,93.1,-1,Signal Fail
1787710039.432,93.1,0,Range Valid
1787710040.399,93.2,83,Range Valid
1787710041.364,17.3,0,Range Valid
1787710042.331,16.9,43,Range Valid
1787710043.298,10.5,36,Range Valid
1787710044.268,11.2,36,Range Valid
1787710045.235,11.5,40,Range Valid
1787710046.202,8.8,51,Range Valid
1787710047.169,10.1,58,Range Valid
1787710048.138,10.1,64,Range Valid
1787710049.105,36.9,65,Range Valid
1787710050.072,17.3,62,Range Valid
1787710051.041,10.2,-1,No Update
1787710052.008,8.8,118,Range Valid
1787710052.975,10.1,89,Range Valid
1787710053.942,8.8,88,Range Valid
1787710054.909,7.1,126,Range Valid
1787710055.857,8.4,-1,Signal Fail
1787710056.169,51.7,-1,Signal Fail
1787710056.843,54.5,207,Range Valid
1787710057.812,52.8,200,Range Valid
1787710058.779,43.9,167,Range Valid
1787710059.747,26.7,155,Range Valid
1787710060.716,20.9,154,Range Valid
1787710061.684,83.8,155,Range Valid
1787710062.650,87.0,151,Range Valid
1787710063.618,93.3,203,Range Valid
1787710064.587,26.7,194,Range Valid
1787710065.551,24.7,221,Range Valid
1787710066.522,34.0,183,Range Valid
1787710067.489,40.1,168,Range Valid
1787710068.456,47.0,153,Range Valid
1787710069.425,57.5,156,Range Valid
1787710070.392,55.1,150,Range Valid
1787710071.359,93.2,151,Range Valid
1787710072.279,93.3,151,Range Valid
1787710072.591,93.2,156,Range Valid
1787710073.269,93.2,156,Range Valid
