timestamp,distance_mm,status
1787710485.800,182,Range Valid
1787710486.754,173,Range Valid
1787710487.720,171,Range Valid
1787710488.687,176,Range Valid
1787710489.654,173,Range Valid
1787710490.621,170,Range Valid
1787710491.592,175,Range Valid
1787710492.559,177,Range Valid
1787710493.528,175,Range Valid
1787710494.495,175,Range Valid
1787710495.462,174,Range Valid
1787710496.429,172,Range Valid
1787710497.397,167,Range Valid
1787710498.363,181,Range Valid
1787710499.330,188,Range Valid
1787710500.298,200,Range Valid
1787710501.265,210,Range Valid
1787710502.231,224,Range Valid
1787710503.198,249,Range Valid
1787710504.165,253,Range Valid
1787710505.133,244,Range Valid
1787710506.099,249,Range Valid
1787710507.066,255,Range Valid
1787710508.032,294,Range Valid
1787710508.999,-1,No Update
1787710509.967,408,Range Valid
1787710510.934,396,Range Valid
1787710511.901,508,Range Valid
1787710512.867,531,Range Valid
1787710513.836,554,Range Valid
1787710514.803,552,Range Valid
1787710515.769,552,Range Valid
1787710516.737,539,Range Valid
1787710517.697,517,Range Valid
1787710518.664,509,Range Valid
1787710519.631,506,Range Valid
1787710520.599,494,Range Valid
1787710521.566,493,Range Valid
1787710522.539,493,Range Valid
1787710523.505,477,Range Valid
1787710524.473,471,Range Valid
1787710525.440,464,Range Valid
1787710526.407,450,Range Valid
1787710527.374,431,Range Valid
1787710528.341,421,Range Valid
1787710529.307,406,Range Valid
1787710530.275,389,Range Valid
1787710531.241,369,Range Valid
1787710532.209,360,Range Valid
1787710533.175,346,Range Valid
1787710534.143,336,Range Valid
1787710535.109,326,Range Valid
1787710536.075,319,Range Valid
1787710537.043,303,Range Valid
1787710538.009,281,Range Valid
1787710538.977,264,Range Valid
1787710539.944,242,Range Valid
1787710540.912,227,Range Valid
1787710541.880,200,Range Valid
1787710542.846,190,Range Valid
1787710543.812,173,Range Valid
1787710544.780,146,Range Valid
1787710545.746,132,Range Valid
1787710546.714,117,Range Valid
1787710547.680,108,Range Valid
1787710548.646,92,Range Valid
1787710549.614,80,Range Valid
1787710550.581,58,Range Valid
1787710551.548,32,Range Valid
1787710552.516,27,Range Valid
1787710553.483,48,Range Valid
1787710554.450,47,Range Valid
1787710555.416,48,Range Valid
1787710556.383,38,Range Valid
1787710557.351,38,Range Valid
1787710558.317,31,Range Valid
1787710559.285,24,Range Valid
1787710560.251,32,Range Valid
1787710560.907,32,Range Valid
1787710561.220,33,Range Valid
1787710562.018,33,Range Valid
1787710562.231,39,Range Valid
1787710562.725,39,Range Valid
1787710563.153,36,Range Valid
