timestamp,distance_mm,status
1787710718.768,-1,No Update
1787710719.820,203,Range Valid
1787710720.026,204,Range Valid
1787710720.231,201,Range Valid
1787710720.437,197,Range Valid
1787710720.642,201,Range Valid
1787710720.848,200,Range Valid
1787710721.053,201,Range Valid
1787710721.259,197,Range Valid
1787710721.464,201,Range Valid
1787710721.670,199,Range Valid
1787710721.875,197,Range Valid
1787710722.081,196,Range Valid
1787710722.287,197,Range Valid
1787710722.492,198,Range Valid
1787710722.698,199,Range Valid
1787710722.903,195,Range Valid
1787710723.109,196,Range Valid
1787710723.315,197,Range Valid
1787710723.520,199,Range Valid
1787710723.734,197,Range Valid
1787710723.946,202,Range Valid
1787710724.160,198,Range Valid
1787710724.373,199,Range Valid
1787710724.584,199,Range Valid
1787710724.797,197,Range Valid
1787710725.008,199,Range Valid
1787710725.222,198,Range Valid
1787710725.436,200,Range Valid
1787710725.646,205,Range Valid
1787710725.859,199,Range Valid
1787710726.072,211,Range Valid
1787710726.285,212,Range Valid
1787710726.496,218,Range Valid
1787710726.707,220,Range Valid
1787710726.918,237,Range Valid
1787710727.132,242,Range Valid
1787710727.345,244,Range Valid
1787710727.559,251,Range Valid
1787710727.773,262,Range Valid
1787710727.983,265,Range Valid
1787710728.197,278,Range Valid
1787710728.411,275,Range Valid
1787710728.624,281,Range Valid
1787710728.837,277,Range Valid
1787710729.051,283,Range Valid
1787710729.263,283,Range Valid
1787710729.475,280,Range Valid
1787710729.686,278,Range Valid
1787710729.900,293,Range Valid
1787710730.114,294,Range Valid
1787710730.326,296,Range Valid
1787710730.537,308,Range Valid
1787710730.748,308,Range Valid
1787710730.960,312,Range Valid
1787710731.172,313,Range Valid
1787710731.386,337,Range Valid
1787710731.600,358,Range Valid
1787710731.813,356,Range Valid
1787710732.024,370,Range Valid
1787710732.236,378,Range Valid
1787710732.450,397,Range Valid
1787710732.664,392,Range Valid
1787710732.878,427,Range Valid
1787710733.088,443,Range Valid
1787710733.301,434,Range Valid
1787710733.513,439,Range Valid
1787710733.724,433,Range Valid
1787710733.936,450,Range Valid
1787710734.150,490,Range Valid
1787710734.364,530,Range Valid
1787710734.575,549,Range Valid
1787710734.788,562,Range Valid
1787710734.999,565,Range Valid
1787710735.210,568,Range Valid
1787710735.424,570,Range Valid
1787710735.638,568,Range Valid
1787710735.852,566,Range Valid
1787710736.065,563,Range Valid
1787710736.277,563,Range Valid
1787710736.488,556,Range Valid
1787710736.699,555,Range Valid
1787710736.912,563,Range Valid
1787710737.124,562,Range Valid
1787710737.337,567,Range Valid
1787710737.549,566,Range Valid
1787710737.762,560,Range Valid
1787710737.972,563,Range Valid
1787710738.186,562,Range Valid
1787710738.399,560,Range Valid
1787710738.614,554,Range Valid
1787710738.827,557,Range Valid
1787710739.040,555,Range Valid
1787710739.254,555,Range Valid
1787710739.466,554,Range Valid
1787710739.676,551,Range Valid
1787710739.889,555,Range Valid
1787710740.102,553,Range Valid
1787710740.316,553,Range Valid
1787710740.527,554,Range Valid
