timestamp,segment,distance_desc,distance_cm
1787717506.345,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717506.546,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.7
1787717506.746,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717506.947,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717507.147,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717507.347,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,37.1
1787717507.548,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,37.1
1787717507.748,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,37.1
1787717507.949,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,37.1
1787717508.149,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,37.1
1787717508.350,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717508.550,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717508.750,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717508.951,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.7
1787717509.151,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717509.352,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717509.552,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717509.752,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717509.953,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717510.153,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717510.354,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717510.554,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717510.754,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717510.955,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717511.155,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717511.355,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.6
1787717511.556,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,36.1
1787717511.756,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,35.3
1787717511.957,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,35.0
1787717512.157,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,34.8
1787717512.357,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,34.2
1787717512.558,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,33.7
1787717512.758,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,33.4
1787717512.959,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.6
1787717513.159,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.3
1787717513.359,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.1
1787717513.560,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,31.8
1787717513.760,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,31.8
1787717513.961,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.1
1787717514.161,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.9
1787717514.361,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.9
1787717514.562,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.4
1787717514.762,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.3
1787717514.963,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,31.9
1787717515.163,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.1
1787717515.364,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,31.9
1787717515.564,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.1
1787717515.765,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.1
1787717515.965,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,32.1
1787717516.165,baseline_hard_flat_30cm,hard flat surface (book/wall) at ~30cm,31.8
1787717546.794,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),18.0
1787717546.994,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.9
1787717547.194,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.9
1787717547.395,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.9
1787717547.595,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.0
1787717547.796,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.3
1787717547.996,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.3
1787717548.196,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.3
1787717548.397,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.3
1787717548.597,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.9
1787717548.798,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.9
1787717548.998,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.9
1787717549.198,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.0
1787717549.399,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.3
1787717549.599,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.3
1787717549.800,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.7
1787717550.000,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.6
1787717550.200,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.6
1787717550.401,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.6
1787717550.601,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.0
1787717550.802,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),15.6
1787717551.002,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),13.2
1787717551.202,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),10.9
1787717551.403,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.5
1787717551.603,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.1
1787717551.804,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),8.8
1787717552.004,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.1
1787717552.204,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.2
1787717552.405,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.5
