timestamp,segment,distance_desc,distance_mm,status
1787717728.870,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",103,Range Valid
1787717729.168,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",102,Range Valid
1787717729.382,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",103,Range Valid
1787717729.596,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",102,Range Valid
1787717729.808,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",102,Range Valid
1787717730.022,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",103,Range Valid
1787717730.235,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",102,Range Valid
1787717730.447,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",102,Range Valid
1787717730.661,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",102,Range Valid
1787717730.873,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",102,Range Valid
1787717731.087,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",103,Range Valid
1787717731.300,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",103,Range Valid
1787717731.514,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",104,Range Valid
1787717731.725,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",103,Range Valid
1787717731.939,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",97,Range Valid
1787717732.153,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",96,Range Valid
1787717732.366,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",94,Range Valid
1787717732.580,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",91,Range Valid
1787717732.792,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",94,Range Valid
1787717733.005,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",92,Range Valid
1787717733.219,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",93,Range Valid
1787717733.433,baseline_matte_hard_30cm,"matte hard surface (book cover, wall) at ~30cm",93,Range Valid
