timestamp,phase,ultrasonic_cm
2867.374,A_ultrasonic_alone,19.6
2867.504,A_ultrasonic_alone,19.6
2867.633,A_ultrasonic_alone,19.6
2867.698,A_ultrasonic_alone,19.6
2867.827,A_ultrasonic_alone,19.6
2867.892,A_ultrasonic_alone,19.6
2868.021,A_ultrasonic_alone,19.6
2868.086,A_ultrasonic_alone,19.6
2868.215,A_ultrasonic_alone,19.6
2868.279,A_ultrasonic_alone,19.6
2868.408,A_ultrasonic_alone,19.6
2868.473,A_ultrasonic_alone,19.6
2868.602,A_ultrasonic_alone,19.6
2868.731,A_ultrasonic_alone,19.6
2868.796,A_ultrasonic_alone,19.6
2868.925,A_ultrasonic_alone,19.6
2868.989,A_ultrasonic_alone,19.6
2869.119,A_ultrasonic_alone,19.5
2869.183,A_ultrasonic_alone,19.6
2869.312,A_ultrasonic_alone,19.6
2869.377,A_ultrasonic_alone,19.6
2869.506,A_ultrasonic_alone,19.7
2869.635,A_ultrasonic_alone,19.6
2869.700,A_ultrasonic_alone,19.5
2869.829,A_ultrasonic_alone,19.6
2869.894,A_ultrasonic_alone,19.6
2870.023,A_ultrasonic_alone,19.6
2870.088,A_ultrasonic_alone,19.6
2870.217,A_ultrasonic_alone,19.6
2870.281,A_ultrasonic_alone,19.6
2870.410,A_ultrasonic_alone,19.6
2870.539,A_ultrasonic_alone,19.6
2870.604,A_ultrasonic_alone,19.6
2870.733,A_ultrasonic_alone,19.6
2870.798,A_ultrasonic_alone,19.6
2870.927,A_ultrasonic_alone,19.6
2870.991,A_ultrasonic_alone,19.6
2871.120,A_ultrasonic_alone,19.6
2871.185,A_ultrasonic_alone,19.6
2871.314,A_ultrasonic_alone,19.6
2871.379,A_ultrasonic_alone,19.6
2871.508,A_ultrasonic_alone,19.6
2871.637,A_ultrasonic_alone,19.6
2871.702,A_ultrasonic_alone,19.6
2871.831,A_ultrasonic_alone,19.6
2871.896,A_ultrasonic_alone,19.6
2872.025,A_ultrasonic_alone,19.6
2872.089,A_ultrasonic_alone,19.6
2872.219,A_ultrasonic_alone,19.6
2872.283,A_ultrasonic_alone,19.6
2872.412,A_ultrasonic_alone,19.6
2872.542,A_ultrasonic_alone,19.6
2872.606,A_ultrasonic_alone,19.6
2872.735,A_ultrasonic_alone,19.5
2872.800,A_ultrasonic_alone,19.6
2872.929,A_ultrasonic_alone,19.6
2872.994,A_ultrasonic_alone,19.5
2873.123,A_ultrasonic_alone,19.6
2873.188,A_ultrasonic_alone,19.6
2873.317,A_ultrasonic_alone,19.6
2873.446,A_ultrasonic_alone,19.6
2873.510,A_ultrasonic_alone,19.6
2873.639,A_ultrasonic_alone,19.6
2873.704,A_ultrasonic_alone,19.5
2873.834,A_ultrasonic_alone,19.6
2873.898,A_ultrasonic_alone,19.6
2874.027,A_ultrasonic_alone,19.5
2874.092,A_ultrasonic_alone,19.6
2874.221,A_ultrasonic_alone,19.6
2874.285,A_ultrasonic_alone,19.6
2874.414,A_ultrasonic_alone,19.6
2874.543,A_ultrasonic_alone,19.6
2874.608,A_ultrasonic_alone,19.6
2874.737,A_ultrasonic_alone,19.6
2874.802,A_ultrasonic_alone,19.6
2874.931,A_ultrasonic_alone,19.6
2874.996,A_ultrasonic_alone,19.6
2875.125,A_ultrasonic_alone,19.6
2875.190,A_ultrasonic_alone,19.7
2875.319,A_ultrasonic_alone,19.6
2875.448,A_ultrasonic_alone,19.6
2875.512,A_ultrasonic_alone,19.6
2875.641,A_ultrasonic_alone,19.6
2875.706,A_ultrasonic_alone,19.5
2875.835,A_ultrasonic_alone,19.6
2875.900,A_ultrasonic_alone,19.6
2876.029,A_ultrasonic_alone,19.6
2876.094,A_ultrasonic_alone,19.6
2876.223,A_ultrasonic_alone,19.6
2876.352,A_ultrasonic_alone,19.6
2876.416,A_ultrasonic_alone,19.6
2876.545,A_ultrasonic_alone,19.6
2876.610,A_ultrasonic_alone,19.6
2876.739,A_ultrasonic_alone,19.6
2876.804,A_ultrasonic_alone,19.6
2876.933,A_ultrasonic_alone,19.6
2876.998,A_ultrasonic_alone,19.6
2877.127,A_ultrasonic_alone,19.6
2877.191,A_ultrasonic_alone,19.6
2877.321,A_ultrasonic_alone,19.6
2877.450,A_ultrasonic_alone,19.6
2877.514,A_ultrasonic_alone,19.6
2877.643,A_ultrasonic_alone,19.6
2877.708,A_ultrasonic_alone,19.5
2877.837,A_ultrasonic_alone,19.6
2877.902,A_ultrasonic_alone,19.6
2878.031,A_ultrasonic_alone,19.6
2878.096,A_ultrasonic_alone,19.6
2878.225,A_ultrasonic_alone,19.6
2878.354,A_ultrasonic_alone,19.6
2878.418,A_ultrasonic_alone,19.6
2878.547,A_ultrasonic_alone,19.6
2878.612,A_ultrasonic_alone,19.6
2878.741,A_ultrasonic_alone,19.6
2878.806,A_ultrasonic_alone,19.6
2878.935,A_ultrasonic_alone,19.6
2879.000,A_ultrasonic_alone,19.6
2879.129,A_ultrasonic_alone,19.6
2879.258,A_ultrasonic_alone,19.6
2879.323,A_ultrasonic_alone,19.6
2879.451,A_ultrasonic_alone,19.6
2879.516,A_ultrasonic_alone,19.6
2879.645,A_ultrasonic_alone,19.6
2879.710,A_ultrasonic_alone,19.5
2879.839,A_ultrasonic_alone,19.6
2879.904,A_ultrasonic_alone,19.6
2880.033,A_ultrasonic_alone,19.6
2880.098,A_ultrasonic_alone,19.6
2880.227,A_ultrasonic_alone,19.6
2880.356,A_ultrasonic_alone,19.6
2880.421,A_ultrasonic_alone,19.6
2880.550,A_ultrasonic_alone,19.6
2880.614,A_ultrasonic_alone,19.6
2880.744,A_ultrasonic_alone,19.5
2880.808,A_ultrasonic_alone,19.6
